genre,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
blues,0.3501285,0.13018432,1784.1226409867395,2002.4124070990924,3805.7230301080335,0.08304482066898686,123.046875,-113.59882,121.57067,-19.162262,42.36394,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970944,-8.32606,8.802088,-3.6699412,5.7446756,-5.162783,0.7517064,-1.687854,-0.40873003,-2.3026767,1.2224671
blues,0.3408494,0.09590782,1530.2617668815155,2038.987608168796,3550.7136156830047,0.05603980870552978,107.666015625,-207.52383,123.98514,8.94702,35.86715,2.9095943,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.2344916,4.220704,-6.010687,0.92929417,-0.728403,0.29687235,-0.28243038,0.5306445
blues,0.36353773,0.17547321,1552.8324813719914,1747.7540869151055,3042.4101154654873,0.07629120746326373,161.4990234375,-90.757164,140.44087,-29.084547,31.686691,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901966,-1.0801601,-9.226245,2.4483047,-7.7248397,-1.819024,-3.4404576,-2.2381275
blues,0.40485436,0.14104027,1070.1534179991847,1596.422564648525,2184.8790286035382,0.03330886262567672,172.265625,-199.57513,150.0861,5.663404,26.855278,1.7700713,14.232647,-4.827845,9.286853,-0.75612015,8.134435,-3.200026,6.0780816,-2.478445,-1.0815872,-2.8744543,0.773994,-3.3240688,0.6363107,-0.6159676,-3.405046
blues,0.30852598,0.09150122,1835.1285128875493,1748.4107586184412,3579.9574708164155,0.10146053871809745,135.99917763157896,-160.35417,126.209496,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324897,-11.796539,1.2035191,-13.084959,-2.8104992,-6.9344707,-7.5538754,-9.167669,-4.515863,-5.451786,-0.91595227,-4.4080176,-11.704385
blues,0.30252185,0.103452876,1832.0115969793162,1729.5808045469614,3481.4676306917054,0.09404153373936582,112.34714673913044,-177.80176,118.20316,-17.57063,30.760931,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328852,-11.772245,-2.408764,-9.348446,-9.942636,-3.9021835,-5.574562,-1.8393143,-2.7893167,-3.0478048,-8.109732
blues,0.29142597,0.14175196,1459.4696906334664,1389.0684455609621,2795.910729498985,0.07305223740815932,123.046875,-190.06882,130.27023,-36.362114,33.036217,11.093892,-0.59188193,-20.890266,0.27844244,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,-9.949999,-6.5426893,-10.072228,-10.918623,-6.9652433,-3.4394317,-6.484499
blues,0.30737153,0.13176751,1451.8594135288934,1577.5671155774064,2955.3197165929523,0.061442246108855375,92.28515625,-179.3723,136.44833,-26.662588,39.96545,5.310894,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,-8.051759,-8.964918,-8.427482,-10.5642805,-10.785659,-4.6954694,-8.631641
blues,0.40891296,0.14232728,1719.4633657482495,2031.8293659086537,3782.441190998405,0.06402488761600927,83.35433467741936,-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730551,5.0585384,-5.1858063,-1.4536041,-7.042629,2.694213,3.4095309,-2.7137442
blues,0.27396762,0.08128055,1817.2305903199676,1973.7920387975744,3943.8319655416185,0.07917482356921887,129.19921875,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.2712545,-6.0507803,3.7858355,0.22263557,-5.1068816,-0.41015333,-1.1793448,-1.9147079,-2.2936609,2.8842604,-4.233879
